date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:58	67514/67514	---M--	200	added ('OK')	image/jpeg	etag:%225beee4d1-107ba%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/properties/img4.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/properties/img4.jpg	(from http://preview.uideck.com/items/inspire-pro/default/index-2.html)
11:25:58	13709/13709	---MCZ	200	added ('OK')	text/css	etag:W/%225beee47c-358d%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/fullcalendar/css/fullcalendar.min.css	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/fullcalendar/css/fullcalendar.min.css	(from http://preview.uideck.com/items/inspire-pro/default/calendar.html)
11:26:05	139009/139009	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee46d-21f01%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/moment/moment.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/moment/moment.js	(from http://preview.uideck.com/items/inspire-pro/default/calendar.html)
11:26:07	118884/118884	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee47d-1d064%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/fullcalendar/js/fullcalendar.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/fullcalendar/js/fullcalendar.min.js	(from http://preview.uideck.com/items/inspire-pro/default/calendar.html)
11:26:07	6430/6430	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee4a3-191e%22	http://preview.uideck.com/items/inspire-pro/default/assets/js/calendar-init.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/js/calendar-init.js	(from http://preview.uideck.com/items/inspire-pro/default/calendar.html)
11:26:07	240427/240427	---MCZ	200	added ('OK')	application/javascript	etag:W/%225beee494-3ab2b%22	http://preview.uideck.com/items/inspire-pro/default/assets/plugins/jquery-ui/jquery-ui.min.js	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/plugins/jquery-ui/jquery-ui.min.js	(from http://preview.uideck.com/items/inspire-pro/default/calendar.html)
11:26:14	47064/47064	---M--	200	added ('OK')	image/jpeg	etag:%225beee4df-b7d8%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/1.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/1.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:18	50198/50198	---M--	200	added ('OK')	image/jpeg	etag:%225beee4de-c416%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/3.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/3.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:20	75554/75554	---M--	200	added ('OK')	image/jpeg	etag:%225beee4de-12722%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/2.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/2.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:22	251414/251414	---M--	200	added ('OK')	image/jpeg	etag:%225beee4d0-3d616%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/profile/user-bg.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/profile/user-bg.jpg	(from http://preview.uideck.com/items/inspire-pro/default/index-2.html)
11:26:25	41090/41090	---M--	200	added ('OK')	image/jpeg	etag:%225beee4da-a082%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/5.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/5.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:25	67514/67514	---M--	200	added ('OK')	image/jpeg	etag:%225beee4d9-107ba%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/4.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/4.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:31	71001/71001	---M--	200	added ('OK')	image/jpeg	etag:%225beee4dd-11559%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/6.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/6.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:33	65989/65989	---M--	200	added ('OK')	image/jpeg	etag:%225beee4dc-101c5%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/7.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/7.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:34	55273/55273	---M--	200	added ('OK')	image/jpeg	etag:%225beee4d8-d7e9%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/users/8.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/users/8.jpg	(from http://preview.uideck.com/items/inspire-pro/default/chat-app.html)
11:26:43	54774/54774	---M--	200	added ('OK')	image/jpeg	etag:%225beee4b7-d5f6%22	http://preview.uideck.com/items/inspire-pro/default/assets/img/card/img-3.jpg	C:/Users/wejdene/Documents/admin/teplate/preview.uideck.com/items/inspire-pro/default/assets/img/card/img-3.jpg	(from http://preview.uideck.com/items/inspire-pro/default/cards.html)
